Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M08/B01;2148208;EQUIPO DE PIA;20;CALLE;SISTEMA MEDICION PRESION INTRA-ABDOMINAL MANOMETRO FOLEY
EST1-6;2139187;EQUIPO DE SUERO COMÚN;300;600;EQ INF EST SEGUR C/TOMA DE AIRE
M13/B02/00;2230367;EQUIPO DE SUERO CON MICROGOTERO;2;4;"EQ DOSIFICADOR ""Y"" ..NTIBACTERIANO 150ML"
EST1-1;2240981;EQUIPO DE SUERO PERFUSIÓN BOMBA BRAUN;200;400;EQ BMB INF C/SEGURIDAD STD 250CM
M01/B02;2140261;EQUIPO DRENAJE VENTRICULAR EXTERNO;2;CALLE;EQUIPO DRENAJE VENTRICULAR EXTERNO
EST3-1;2149736;EQUIPO HEMOFILTRO ST150;4;8;KIT HEMOFILTRACION 1,5M²
M02/B02;2281593;EQUIPO HUMIDIFICACIÓN ACTIVA ALTO FLUJO AIRVO;20;CALLE;KIT CIRCUITO RESPIRATORIO CALENTADO HUMIDIFICADO CAMARA AUTORRELLENABLE MR290 Y ADAPTADOR NEBULIZACION DISPOSITIVO AIRVO
M01/B03;2262757;EQUIPO HUMIDIFICACIÓN ACTIVA HAMILTON;30;CALLE;CIRCUITO RESPIRATORIO ADULTO PREMONTADO CON CAMARA AGUA/SENSOR TEMPERATURA/CONECTOR
M08/B02/00;2146334;EQUIPO IRRIGACIÓN EN 'Y' P/SUERO LAVADOR VESICAL;2;4;EQ IRRIG EN 'Y' RTU
M12/B08/00;2240982;EQUIPO OPACO PERFUSIÓN BOMBA BRAUN;12;24;EQ BMB INF TRANSLUCIDO C/SEGURIDAD 250CM
M13/B01/00;2282583;EQUIPO TRANSFUSIÓN SANGRE BOMBA BRAUN;5;10;EQ P/ BMB SANGRE SP..PRIMESTOP 200MICRAS
M16/B05/00;2141386;ESPARADRAPO PAPEL 1,25CM;4;8;ESPARADRAPO PAPEL 1,25CMX9,1M
M16/B05/00;2141385;ESPARADRAPO PAPEL 2,5CMX10M;12;24;ESPARADRAPO PAPEL 2,5CMX10M
M16/B05/00;2141384;ESPARADRAPO PAPEL 5CM;4;8;ESPARADRAPO PAPEL 5CMX10M
M16/B05/00;2141376;ESPARADRAPO PLAST 2,5CM;24;48;ESPARADRAPO PLAST 2,5CMX9,1M
M16/B05/00;2141378;ESPARADRAPO PLAST 5CMX10M;6;12;ESPARADRAPO PLAST 5CMX10M
M15/B03/00;2255087;ESPARADRAPO SEDA 5CM;2;4;ESPARADRAPO SEDA 5CMX5M
M15/B03/00;2241390;ESPARADRAPO TELA BLANCO 10CM;1;2;ESPARADRAPO TELA BLANCO 10CMX10M
VERTEDERO;5034870;ESPARTOS ESTROPAJO SCOTH-BRITTE;1;2;ESPARTOS SCOTH-BRITTE
VERTEDERO;5214179;ESPONJA JABONOSA ASEO;150;300;ESPONJA JABONOSA DESECH 13X10X2,5CM
