Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M11/B05/00;2254730;CONECTOR ENFIT PARA EQUIPO NUTRICIÓN ENTERAL;10;20;CONECT NUTRICION ENTERAL ENFIT ENLOCK
M11/B05/00;5209482;ETIQUETAS REMIFENTANILO;500;1.000;ETIQ ADH REMIFENTANILO 44X13MM R/500
M11/B05/00;5143446;ETIQUETAS EFEDRINA;500;1.000;ETIQ ADH EFEDRINA 44X13MM R/500
M11/B05/00;5143443;ETIQUETAS ATROPINA;500;1.000;ETIQ ADH ATROPINA 44X13MM R/500
M11/B05/00;2256818;EQUIPO DE NUTRICIÓN ENTERAL INFINITY;8;16;ST NUTRICION ENTERA..GUR P/ BMB INFINITY
M11/B05/00;2138671;CONECTOR SNG TRANSPARENTE;10;20;CONECT 5 EN 1 TRANSPARENTE EST 6,3-11CM
M11/B06/00;2138856;LLAVE 3VIAS;50;100;LLAVE 3VIAS
M11/B06/00;2315067;BIOCONECTOR C/ALARGADERA CORTA VÍA PERIFÉRICA CVP;30;60;ALARGADERA 18CM C/ BIOCONECTOR
M11/B07/00;2138894;OBTURADOR ROJO VÍAS;200;400;TAPON COMB LUER LOCK
M11/B07/00;2138667;OBTURADOR CONECTOR AZUL;200;400;CONECT SEGUR ACCESO VEN TRANSPARENTE
M11/B08/00;2138789;DOSIFLOW MEDIDOR FLUJO EQUIPO INTRAVENOSO;30;60;MEDIDOR FL P/ ADMINISTR. INTRAVENOSA
M11/B10/00;2138570;ALARGADERA VÍA VENOSA 50CM;25;50;ALARGADERA EST 50CM
M11/B10/00;2138574;ALARGADERA VÍA VENOSA 100CM;25;50;ALARGADERA PRES LUE..HO-HEMBRA EST 100CM
M11/B10/00;2138581;ALARGADERA VÍA VENOSA 20CM;25;50;ALARGADERA EST 20CM
M12/B02/00;2202913;JERINGA 2,5ML;200;400;JERINGA 3 CUERPOS CONO LUER 2,5ML
M12/B03/00;2283146;TIRA P/TAO (SINTROM);48;96;TIRA DET TIEMPO PROTROMBINA PRO II
M12/B03/00;2138402;JERINGA 20ML;60;120;JERINGA 3 CUERPOS CONO LUER 20ML
M12/B05/00;2335421;COMPRESOR GOMA HEMOSTASIA;10;20;GOMA HEMOSTASIA 0,8X18X500MM
M12/B05/00;2338290;CATETER VENOSO PERIFÉRICO 16G;4;8;CAT PERI CRT C/SEG C/V.ANTIRREF 16G 50MM
M12/B07/00;2138458;JERINGA GASOMETRÍA ARTERIAL;125;250;JERINGA GASO ART C/AGUJA SEGUR 22G
